t,x,y,z,roll,pitch,yaw,valid
4.966663,0.223284,0.789558,-0.364938,-4.064547,-17.278042,-84.639038,1
4.999997,0.23294,0.790118,-0.365725,-4.099,-17.255249,-85.38855,1
5.03333,0.24187,0.790599,-0.366048,-4.08127,-17.215977,-86.139305,1
5.066663,0.250646,0.791457,-0.366304,-3.986116,-17.248194,-86.865166,1
5.099997,0.259088,0.792275,-0.366435,-3.938996,-17.158903,-87.48613,1
5.13333,0.267008,0.792476,-0.366744,-3.904848,-16.950684,-88.008408,1
5.166663,0.274773,0.792504,-0.367423,-3.849,-16.652739,-88.41214,1
5.199996,0.282104,0.792006,-0.367796,-3.787476,-16.302635,-88.727303,1
5.23333,0.289012,0.790558,-0.368804,-3.713624,-16.100182,-89.043152,1
5.266663,0.295759,0.78872,-0.370076,-3.532866,-15.75036,-89.353813,1
5.299996,0.302222,0.786232,-0.371098,-3.477998,-15.449067,-89.688652,1
5.33333,0.308731,0.783421,-0.371983,-3.470063,-15.1831,-90.077034,1
5.366663,0.315039,0.780005,-0.372908,-3.507203,-14.799988,-90.514519,1
5.399996,0.321349,0.775895,-0.373944,-3.531708,-14.444333,-90.96106,1
5.43333,0.32767,0.771179,-0.37471,-3.585815,-14.150846,-91.399254,1
5.466663,0.333834,0.766087,-0.375206,-3.560547,-13.91946,-91.874329,1
5.499996,0.339449,0.760184,-0.375417,-3.555635,-13.779263,-92.309425,1
5.533329,0.345605,0.754532,-0.375472,-3.582643,-13.537141,-92.70153,1
5.566663,0.351863,0.748293,-0.375463,-3.568512,-13.255218,-93.017967,1
5.599996,0.358211,0.742192,-0.375124,-3.530518,-13.067285,-93.219643,1
5.633329,0.364839,0.735952,-0.375088,-3.679261,-12.97632,-93.406128,1
5.666663,0.371762,0.730061,-0.37478,-3.727419,-12.927608,-93.518616,1
5.699996,0.378425,0.724268,-0.37403,-3.687531,-13.008265,-93.729919,1
5.733329,0.38491,0.71911,-0.372993,-3.574038,-13.222166,-94.080688,1
5.766663,0.391221,0.714119,-0.371956,-3.401094,-13.417448,-94.412849,1
5.799996,0.397504,0.709594,-0.371274,-3.338929,-13.583128,-94.827667,1
5.833329,0.403701,0.706065,-0.37038,-3.263336,-14.096669,-95.418144,1
5.866663,0.410063,0.703513,-0.369443,-3.165955,-14.689448,-96.228508,1
5.899996,0.415916,0.700688,-0.36873,-2.960237,-15.028225,-97.191933,1
5.933329,0.422263,0.698748,-0.368273,-2.666656,-15.34695,-98.205078,1
5.966662,0.428953,0.697121,-0.368187,-2.488557,-15.533414,-99.160339,1
5.999996,0.435879,0.696037,-0.368444,-2.267883,-15.64105,-100.082268,1
6.033329,0.443434,0.695864,-0.368906,-2.150117,-15.521358,-100.983543,1
6.066662,0.451534,0.696121,-0.369284,-2.14798,-15.348445,-101.910973,1
6.099996,0.459906,0.696441,-0.369953,-2.199493,-15.066959,-102.922653,1
6.133329,0.469349,0.697477,-0.370452,-2.327484,-14.778685,-103.97596,1
6.166662,0.479408,0.698571,-0.370675,-2.469025,-14.596312,-105.076843,1
6.199996,0.490167,0.699641,-0.370729,-2.557436,-14.547148,-106.170876,1
