t,x,y,z,roll,pitch,yaw,valid
3.899998,-0.583739,-0.314122,-0.363216,-6.418249,-23.958288,8.000366,1
3.933331,-0.582416,-0.31741,-0.365612,-6.753941,-23.98864,8.675731,1
3.966664,-0.58058,-0.321646,-0.367274,-6.768011,-24.204769,9.150106,1
3.999998,-0.577652,-0.326658,-0.368585,-6.729224,-24.27887,9.519669,1
4.033331,-0.574593,-0.333211,-0.369699,-6.619879,-24.301088,9.801528,1
4.066664,-0.570576,-0.34029,-0.370311,-6.668311,-24.395201,10.081213,1
4.099998,-0.565558,-0.347714,-0.370697,-6.663305,-24.439058,10.539412,1
4.133331,-0.560376,-0.355947,-0.370614,-6.784825,-24.563005,11.150912,1
4.166664,-0.554683,-0.364808,-0.370365,-6.913458,-24.681639,11.852859,1
4.199997,-0.548891,-0.375208,-0.369998,-6.926977,-24.818016,12.461243,1
4.233331,-0.542674,-0.386838,-0.369808,-6.725806,-24.90177,12.664322,1
4.266664,-0.537648,-0.399867,-0.369732,-6.089543,-24.905785,13.018468,1
4.299997,-0.533612,-0.413934,-0.370178,-5.432223,-24.715141,13.863103,1
4.333331,-0.529898,-0.427912,-0.371025,-4.805575,-24.697962,14.962152,1
4.366664,-0.527752,-0.442917,-0.372024,-4.293123,-24.667145,16.556067,1
4.399997,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.433331,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.466664,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.499997,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.53333,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.566664,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.599997,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.63333,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.666664,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.699997,-0.524552,-0.456271,-0.373405,-3.983156,-24.695127,18.523176,1
4.73333,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.766664,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.799997,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.83333,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.866663,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.899997,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.93333,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.966663,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
4.999997,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
5.03333,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
5.066663,-0.488969,-0.560225,-0.390093,-5.118534,-25.527981,37.396954,1
5.099997,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.13333,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.166663,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.199996,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.23333,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.266663,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.299996,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.33333,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.366663,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.399996,-0.417309,-0.61358,-0.391843,-5.240726,-23.358734,40.550137,1
5.43333,-0.376067,-0.654257,-0.397318,-4.415315,-21.535543,42.508224,1
5.466663,-0.373183,-0.655837,-0.397618,-4.620667,-21.568842,42.923557,1
5.499996,-0.370425,-0.657729,-0.398075,-4.740846,-21.531733,43.360954,1
5.533329,-0.366478,-0.660496,-0.39918,-4.870456,-21.409056,44.04892,1
5.566663,-0.359834,-0.664344,-0.402406,-4.897402,-21.440269,45.261745,1
5.599996,-0.356849,-0.667378,-0.40452,-4.92679,-21.524343,46.106922,1
5.633329,-0.353329,-0.669807,-0.406308,-5.158145,-21.550543,47.091141,1
5.666663,-0.34982,-0.671603,-0.407796,-5.342379,-21.440298,48.239735,1
5.699996,-0.346493,-0.673991,-0.409281,-5.365849,-21.229156,49.583561,1
5.733329,-0.34296,-0.676179,-0.410582,-5.537203,-20.970203,51.103458,1
5.766663,-0.339398,-0.679065,-0.411081,-5.881169,-20.995878,52.632755,1
5.799996,-0.334921,-0.681883,-0.411313,-6.221685,-21.250698,54.147987,1
5.833329,-0.330255,-0.6852,-0.412099,-6.583258,-21.33337,55.657955,1
5.866663,-0.324345,-0.688504,-0.412986,-6.772437,-21.109983,57.197693,1
5.899996,-0.318042,-0.692305,-0.41443,-6.777105,-20.685917,58.733177,1
5.933329,-0.310989,-0.696687,-0.414857,-6.712132,-20.367699,60.2173,1
5.966662,-0.302409,-0.701536,-0.414893,-6.725591,-20.406706,61.595264,1
5.999996,-0.293115,-0.706152,-0.415123,-6.505436,-20.296289,62.999126,1
