t,x,y,z,roll,pitch,yaw,valid
3.499998,0.782867,-0.534877,-0.5444,-4.870943,-9.528353,145.914764,1
3.533331,0.777761,-0.534196,-0.544512,-5.006076,-9.422238,144.621674,1
3.566665,0.772384,-0.533545,-0.544108,-4.800845,-9.536344,143.26149,1
3.599998,0.766163,-0.532749,-0.543332,-4.435915,-9.681273,141.922287,1
3.633331,0.759352,-0.532071,-0.541936,-4.07959,-9.857602,140.855438,1
3.666665,0.752273,-0.531677,-0.539446,-3.979279,-10.26214,140.12323,1
3.699998,0.744766,-0.531413,-0.536941,-3.972934,-10.625978,139.472885,1
3.733331,0.737226,-0.53113,-0.534375,-4.048584,-10.985259,138.844193,1
3.766665,0.729341,-0.531014,-0.53112,-4.095886,-11.496977,138.258545,1
3.799998,0.721353,-0.531113,-0.527861,-3.998383,-12.21164,137.912949,1
3.833331,0.713277,-0.531406,-0.524576,-3.791658,-12.976464,137.752548,1
3.866664,0.705363,-0.532436,-0.522442,-3.772583,-13.395721,137.800125,1
3.899998,0.698215,-0.533455,-0.521691,-3.987458,-13.142205,138.041046,1
3.933331,0.691525,-0.533818,-0.523013,-4.514558,-11.942045,138.226562,1
3.966664,0.685345,-0.534091,-0.524257,-4.914279,-10.757664,138.413864,1
3.999998,0.679107,-0.534633,-0.52561,-5.244814,-10.110845,138.744293,1
4.033331,0.673629,-0.534886,-0.526378,-5.35944,-10.113065,139.205688,1
4.066664,0.668127,-0.535064,-0.527421,-5.39127,-10.213987,139.732056,1
4.099998,0.662889,-0.534867,-0.528461,-5.338411,-10.128999,140.30188,1
4.133331,0.658586,-0.534488,-0.528876,-5.287019,-10.307834,140.933441,1
4.166664,0.655117,-0.534185,-0.528348,-5.29419,-10.603848,141.584015,1
4.199997,0.652485,-0.533677,-0.527444,-5.215548,-10.898891,142.350403,1
4.233331,0.650254,-0.532556,-0.527465,-5.1113,-10.909212,143.108612,1
4.266664,0.648514,-0.5312,-0.527453,-5.052066,-10.890927,143.866501,1
4.299997,0.647839,-0.529332,-0.526947,-5.085116,-11.15475,144.607986,1
4.333331,0.647591,-0.527532,-0.526057,-5.063297,-11.541373,145.274582,1
4.366664,0.648058,-0.525021,-0.525838,-5.100405,-11.654877,145.810165,1
4.399997,0.648441,-0.521906,-0.525738,-5.066195,-11.555758,146.223038,1
4.433331,0.64924,-0.518405,-0.525438,-4.990146,-11.555511,146.515656,1
4.466664,0.650199,-0.514216,-0.52529,-4.901522,-11.656434,146.62674,1
4.499997,0.651282,-0.509091,-0.525006,-4.821658,-11.849333,146.602371,1
4.53333,0.652685,-0.503371,-0.524512,-4.857882,-12.047784,146.436356,1
4.566664,0.6543,-0.497395,-0.523566,-4.987368,-12.455498,146.195084,1
4.599997,0.656415,-0.491281,-0.522838,-5.21735,-12.88315,145.961319,1
4.63333,0.658574,-0.484907,-0.522097,-5.504673,-13.202051,145.718719,1
4.666664,0.661274,-0.478393,-0.521589,-5.878117,-13.432981,145.47699,1
4.699997,0.664204,-0.472136,-0.520921,-6.275517,-13.695676,145.284241,1
4.73333,0.667647,-0.466137,-0.519997,-6.69358,-14.03054,145.0896,1
4.766664,0.67145,-0.460592,-0.519228,-7.062017,-14.20303,144.845963,1
4.799997,0.675785,-0.454381,-0.51908,-7.473641,-14.10516,144.579773,1
4.83333,0.680326,-0.448614,-0.518826,-7.96589,-13.981997,144.258972,1
4.866663,0.684887,-0.44271,-0.518512,-8.353282,-13.987762,143.938995,1
4.899997,0.689382,-0.436652,-0.518077,-8.755199,-14.07443,143.622116,1
4.93333,0.694178,-0.430723,-0.517519,-9.18257,-14.203214,143.266373,1
4.966663,0.69939,-0.425144,-0.516876,-9.546186,-14.419738,142.889374,1
4.999997,0.704839,-0.420064,-0.516147,-9.808178,-14.568628,142.536667,1
5.03333,0.710133,-0.41536,-0.515522,-10.072892,-14.670535,142.164474,1
5.066663,0.715377,-0.410942,-0.514991,-10.243608,-14.72073,141.805847,1
5.099997,0.720511,-0.406981,-0.514553,-10.357831,-14.728141,141.496643,1
5.13333,0.72587,-0.403267,-0.51408,-10.517137,-14.854185,141.250961,1
5.166663,0.731328,-0.399963,-0.513515,-10.683181,-14.981808,141.010666,1
