id,x,y,z
61,1500.0,-1124.9999,937.4999
62,1500.0,-1312.4999,999.9999
63,1500.0,-937.4999,874.9999
64,1500.0,-749.9999,812.4999
65,1500.0,-1312.4999,937.4999
66,1500.0,-1499.9999,999.9999
67,1500.0,-1499.9999,937.4999
68,1500.0,-1124.9999,874.9999
69,1500.0,-1312.4999,874.9999
70,1500.0,-1499.9999,874.9999
71,1500.0,-937.4999,812.4999
72,1500.0,-1124.9999,812.4999
73,1500.0,-1312.4999,812.4999
74,1500.0,-1499.9999,812.4999
75,1500.0,-937.4999,749.9999
76,1500.0,-1312.4999,749.9999
77,1500.0,-1499.9999,749.9999
78,1500.0,-1124.9999,749.9999
79,1500.0,-1312.4999,687.4999
80,1500.0,-1499.9999,687.4999
81,1500.0,-1124.9999,687.4999
82,1500.0,-1312.4999,624.9999
83,1500.0,-1499.9999,624.9999
84,1500.0,-1124.9999,624.9999
85,1500.0,-937.4999,687.4999
86,1500.0,-937.4999,624.9999
87,1500.0,-1124.9999,562.4999
88,1500.0,-1312.4999,562.4999
89,1500.0,-1499.9999,562.4999
90,1500.0,-937.4999,562.4999
91,1500.0,-1312.4999,499.9999
92,1500.0,-1499.9999,499.9999
93,1500.0,-1124.9999,499.9999
94,1500.0,-1312.4999,437.4999
95,1500.0,-1499.9999,437.4999
96,1500.0,-1124.9999,437.4999
97,1500.0,-937.4999,499.9999
98,1500.0,-937.4999,437.4999
99,1500.0,-1124.9999,374.9999
100,1500.0,-1312.4999,374.9999
101,1500.0,-1499.9999,374.9999
102,1500.0,-937.4999,375.0
103,1500.0,-1312.4999,312.4999
104,1500.0,-1499.9999,312.4999
105,1500.0,-1124.9999,312.4999
106,1500.0,-1312.4999,250.0
107,1500.0,-1499.9999,249.9999
108,1500.0,-1124.9999,250.0
109,1500.0,-937.4999,312.4999
110,1500.0,-937.4999,250.0
111,1500.0,-1124.9999,187.5
112,1500.0,-1312.4999,187.4999
113,1500.0,-1499.9999,187.4999
114,1500.0,-937.4999,187.5
115,1500.0,-1312.4999,124.9999
116,1500.0,-1499.9999,124.9999
117,1500.0,-1124.9999,125.0
118,1500.0,-1312.4999,62.5
119,1500.0,-1499.9999,62.5
120,1500.0,-1499.9999,-0.0
121,1500.0,-1312.4999,-0.0
122,1500.0,-1124.9999,0.0
123,1500.0,-1124.9999,62.5
124,1500.0,-937.4999,0.0
125,1500.0,-937.4999,62.5
126,1500.0,-749.9999,0.0
127,1500.0,-937.4999,125.0
128,1500.0,-749.9999,62.5
129,1500.0,-562.4999,0.0
130,1500.0,-749.9999,125.0
131,1500.0,-562.4999,62.5
132,1500.0,-374.9999,0.0
133,1500.0,-749.9999,187.5
134,1500.0,-562.4999,125.0
135,1500.0,-374.9999,62.5
136,1500.0,-187.5,0.0001
137,1500.0,-749.9999,250.0
138,1500.0,-562.4999,187.5
139,1500.0,-374.9999,125.0
140,1500.0,-187.5,62.5001
141,1500.0,0.0,0.0001
142,1500.0,-374.9999,187.5
143,1500.0,0.0,62.5001
144,1500.0,187.5,0.0001
145,1500.0,-187.5,125.0
146,1500.0,187.5,62.5001
147,1500.0,375.0,0.0001
148,1500.0,0.0,125.0
149,1500.0,375.0,62.5001
150,1500.0,562.4999,0.0001
151,1500.0,187.5,125.0
152,1500.0,-187.5,187.5
153,1500.0,0.0,187.5
154,1500.0,375.0,125.0001
155,1500.0,562.4999,62.5001
156,1500.0,749.9999,0.0001
157,1500.0,187.5,187.5
158,1500.0,749.9999,62.5001
159,1500.0,937.4999,0.0001
160,1500.0,562.4999,125.0001
161,1500.0,937.4999,62.5001
162,1500.0,1124.9999,0.0001
163,1500.0,749.9999,125.0001
164,1500.0,375.0,187.5001
165,1500.0,562.4999,187.5001
166,1500.0,937.4999,125.0001
167,1500.0,1124.9999,62.5001
168,1500.0,1312.4999,0.0002
169,1500.0,749.9999,187.5001
170,1500.0,1312.4999,62.5002
171,1500.0,1499.9999,0.0002
172,1500.0,1499.9999,62.5002
173,1500.0,1124.9999,125.0001
174,1500.0,1312.4999,125.0001
175,1500.0,1499.9999,125.0001
176,1500.0,937.4999,187.5001
177,1500.0,1124.9999,187.5001
178,1500.0,1312.4999,187.5001
179,1500.0,1499.9999,187.5001
180,1500.0,937.4999,250.0001
181,1500.0,1312.4999,250.0001
182,1500.0,1499.9999,250.0001
183,1500.0,1124.9999,250.0001
184,1500.0,1312.4999,312.5001
185,1500.0,1499.9999,312.5001
186,1500.0,1124.9999,312.5001
187,1500.0,1312.4999,375.0001
188,1500.0,1499.9999,375.0001
189,1500.0,1124.9999,375.0001
190,1500.0,937.4999,312.5001
191,1500.0,937.4999,375.0001
192,1500.0,1124.9999,437.5001
193,1500.0,1312.4999,437.5001
194,1500.0,1499.9999,437.5001
195,1500.0,937.4999,437.5001
196,1500.0,1312.4999,500.0001
197,1500.0,1499.9999,500.0001
198,1500.0,1124.9999,500.0001
199,1500.0,1312.4999,562.5001
200,1500.0,1499.9999,562.5001
201,1500.0,1124.9999,562.5001
202,1500.0,937.4999,500.0001
203,1500.0,937.4999,562.5001
204,1500.0,1124.9999,625.0001
205,1500.0,1312.4999,625.0001
206,1500.0,1124.9999,687.5001
207,1500.0,937.4999,625.0001
208,1500.0,937.4999,687.5001
209,1500.0,937.4999,750.0
210,1500.0,749.9999,750.0
211,1500.0,749.9999,687.5
212,1500.0,562.4999,750.0
213,1500.0,749.9999,625.0
214,1500.0,562.4999,687.5
215,1500.0,375.0,750.0
216,1500.0,749.9999,562.5001
217,1500.0,187.5,750.0
218,1500.0,375.0,687.5
219,1500.0,562.4999,625.0
220,1500.0,-0.0,750.0
221,1500.0,187.5,687.5
222,1500.0,375.0,625.0
223,1500.0,-187.5,749.9999
224,1500.0,-0.0,687.5
225,1500.0,187.5,625.0
226,1500.0,562.4999,562.5
227,1500.0,375.0,562.5
228,1500.0,749.9999,500.0
229,1500.0,562.4999,500.0
230,1500.0,749.9999,437.5001
231,1500.0,375.0,500.0
232,1500.0,749.9999,375.0001
233,1500.0,562.4999,437.5
234,1500.0,749.9999,312.5001
235,1500.0,562.4999,375.0001
236,1500.0,749.9999,250.0001
237,1500.0,562.4999,312.5001
238,1500.0,562.4999,250.0001
239,1500.0,375.0,375.0
240,1500.0,375.0,250.0
241,1500.0,375.0,312.5
242,1500.0,187.5,250.0
243,1500.0,187.5,312.5
244,1500.0,0.0,250.0
245,1500.0,0.0,312.5
246,1500.0,187.5,375.0
247,1500.0,0.0,375.0
248,1500.0,-187.5,250.0
249,1500.0,-187.5,312.5
250,1500.0,-375.0,250.0
251,1500.0,-375.0,312.5
252,1500.0,-187.5,375.0
253,1500.0,-562.4999,250.0
254,1500.0,-562.4999,312.5
255,1500.0,-749.9999,312.5
256,1500.0,-749.9999,375.0
257,1500.0,-562.4999,375.0
258,1500.0,-749.9999,437.5
259,1500.0,-375.0,375.0
260,1500.0,-562.4999,437.5
261,1500.0,-749.9999,500.0
262,1500.0,-375.0,437.5
263,1500.0,-562.4999,500.0
264,1500.0,-749.9999,562.4999
265,1500.0,-187.5,437.5
266,1500.0,-375.0,500.0
267,1500.0,-562.4999,562.4999
268,1500.0,-749.9999,624.9999
269,1500.0,-375.0,562.5
270,1500.0,-749.9999,687.4999
271,1500.0,-562.4999,624.9999
272,1500.0,-749.9999,749.9999
273,1500.0,-562.4999,687.4999
274,1500.0,-562.4999,749.9999
275,1500.0,-375.0,624.9999
276,1500.0,-375.0,687.5
277,1500.0,-375.0,749.9999
278,1500.0,-187.5,687.5
279,1500.0,-187.5,625.0
280,1500.0,-0.0,625.0
281,1500.0,-187.5,562.5
282,1500.0,-0.0,562.5
283,1500.0,187.5,562.5
284,1500.0,187.5,500.0
285,1500.0,0.0,500.0
286,1500.0,-187.5,500.0
287,1500.0,0.0,437.5
288,1500.0,187.5,437.5
289,1500.0,375.0,437.5
290,1499.9998,-1499.9999,999.9999
291,1312.5,-1499.9999,999.9999
292,1499.9998,-1499.9999,937.4999
293,1312.5,-1499.9999,937.4999
294,1125.0,-1499.9999,999.9999
295,1499.9998,-1499.9999,874.9999
296,1125.0,-1499.9999,937.4999
297,937.5,-1499.9999,999.9999
298,1312.5,-1499.9999,874.9999
299,1499.9998,-1499.9999,812.4999
300,937.5,-1499.9999,937.4999
301,750.0,-1499.9999,999.9999
302,1125.0,-1499.9999,874.9999
303,1312.5,-1499.9999,812.4999
304,1499.9998,-1499.9999,749.9999
305,750.0,-1499.9999,937.4999
306,562.5,-1499.9999,999.9999
307,1312.5,-1499.9999,749.9999
308,1499.9996,-1499.9999,687.4999
309,1125.0,-1499.9999,812.4999
310,937.5,-1499.9999,874.9999
311,1312.5,-1499.9999,687.4999
312,1499.9996,-1499.9999,624.9999
313,1125.0,-1499.9999,749.9999
314,937.5,-1499.9999,812.4999
315,750.0,-1499.9999,874.9999
316,562.5,-1499.9999,937.4999
317,375.0,-1499.9999,999.9999
318,750.0,-1499.9999,812.4999
319,375.0,-1499.9999,937.4999
320,187.5,-1499.9999,999.9999
321,562.5,-1499.9999,874.9999
322,187.5,-1499.9999,937.4999
323,0.0,-1499.9999,999.9999
